epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
32,43.4367,1.23823,1.69116,1.0985,1.03385,0,0.96646,1,0.995,0.77527,0.00333,0.92857,0.06803,0.02079,0.82995,23.1578,1.98917,0.90853,0,0.000533327,0.000533327,0.0375333
33,44.5616,0.94161,1.12344,0.87987,0.93843,0,0.9938,1,0.995,0.78945,0.29191,0.295,0.22594,0.04482,0.84641,14.8514,1.77305,0.8974,0,0.00054704,0.00054704,0.035547
34,45.682,1.27036,1.77039,1.20486,1.05781,0,0.9938,1,0.995,0.78945,0.29191,0.295,0.22594,0.04482,0.84641,14.8514,1.77305,0.8974,0,0.000560555,0.000560555,0.0335606
35,46.7747,1.13352,1.44546,0.97445,1.0116,0,0.9938,1,0.995,0.78945,0.29191,0.295,0.22594,0.04482,0.84641,14.8514,1.77305,0.8974,0,0.000573873,0.000573873,0.0315739
36,47.9187,0.91168,1.01164,0.7717,0.91093,0,0.96776,1,0.995,0.77837,0.83245,0.85714,0.88919,0.21836,0.80557,8.73167,1.52857,0.89226,0,0.000586993,0.000586993,0.029587
37,49.0492,0.96512,1.40533,0.85478,0.93681,0,0.96776,1,0.995,0.77837,0.83245,0.85714,0.88919,0.21836,0.80557,8.73167,1.52857,0.89226,0,0.000599914,0.000599914,0.0275999
38,50.1355,0.98577,1.17955,0.87678,0.96661,0,0.96776,1,0.995,0.77837,0.83245,0.85714,0.88919,0.21836,0.80557,8.73167,1.52857,0.89226,0,0.000612638,0.000612638,0.0256126
39,51.3511,0.84706,0.96462,0.74032,0.90089,0,0.98287,1,0.995,0.79297,0.98287,1,0.995,0.49904,0.81017,3.36369,1.30963,0.89763,0,0.000625163,0.000625163,0.0236252
40,52.476,1.01089,1.15571,0.91095,0.95495,0,0.98287,1,0.995,0.79297,0.98287,1,0.995,0.49904,0.81017,3.36369,1.30963,0.89763,0,0.00063749,0.00063749,0.0216375
41,53.5792,1.17404,1.33339,0.93006,0.96846,0,0.98287,1,0.995,0.79297,0.98287,1,0.995,0.49904,0.81017,3.36369,1.30963,0.89763,0,0.00064962,0.00064962,0.0196496
42,54.777,0.97718,1.21544,0.8941,0.98487,0,0.9898,1,0.995,0.77644,0.9898,1,0.995,0.77535,0.88905,1.06328,1.18616,0.90729,0,0.000661552,0.000661552,0.0176616
43,55.9762,0.88666,1.17273,0.74745,0.9082,0,0.9898,1,0.995,0.77644,0.9898,1,0.995,0.77535,0.88905,1.06328,1.18616,0.90729,0,0.000673285,0.000673285,0.0156733
