epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
61,385.372,0.79505,1.00971,0.49044,0.93244,0,0.99809,1,0.995,0.84976,0.99809,1,0.995,0.81985,0.63277,0.73427,0.34648,0.86384,0,0.000703,0.000703,0.000703
62,391.575,0.81959,1.16234,0.51945,0.94711,0,0.998,1,0.995,0.84434,0.998,1,0.995,0.82563,0.68696,0.76249,0.36762,0.8657,0,0.00069805,0.00069805,0.00069805
63,398.004,0.79567,1.06238,0.51185,0.9498,0,0.99798,1,0.995,0.85768,0.99798,1,0.995,0.8377,0.65719,0.705,0.36271,0.86574,0,0.0006931,0.0006931,0.0006931
64,404.093,0.82631,1.04386,0.51653,0.94598,0,0.99794,1,0.995,0.85168,0.99794,1,0.995,0.83982,0.63991,0.7819,0.36148,0.87176,0,0.00068815,0.00068815,0.00068815
65,410.343,0.8933,1.22657,0.53823,0.98368,0,0.99783,1,0.995,0.86728,0.99783,1,0.995,0.84559,0.61861,0.733,0.35434,0.85687,0,0.0006832,0.0006832,0.0006832
66,417.048,0.87745,1.05808,0.53867,0.9496,0,0.99786,1,0.995,0.85132,0.99786,1,0.995,0.83968,0.62112,0.71216,0.3426,0.85446,0,0.00067825,0.00067825,0.00067825
67,423.257,0.78371,1.04722,0.49338,0.92415,0,0.99793,1,0.995,0.85506,0.99793,1,0.995,0.84435,0.60674,0.70644,0.33857,0.85369,0,0.0006733,0.0006733,0.0006733
68,429.078,0.69378,0.89559,0.45343,0.88406,0,0.99796,1,0.995,0.87549,0.99796,1,0.995,0.85828,0.59406,0.73058,0.35428,0.85602,0,0.00066835,0.00066835,0.00066835
69,435.233,0.79975,0.96419,0.48958,0.93723,0,0.99803,1,0.995,0.84323,0.99803,1,0.995,0.83452,0.69593,0.78669,0.36472,0.88243,0,0.0006634,0.0006634,0.0006634
70,441.719,0.81568,1.05393,0.47648,0.93811,0,0.99813,1,0.995,0.86928,0.99813,1,0.995,0.84708,0.59479,0.69599,0.33342,0.85718,0,0.00065845,0.00065845,0.00065845
71,448.009,0.81085,0.97534,0.48408,0.93553,0,0.99817,1,0.995,0.85121,0.99817,1,0.995,0.84566,0.61298,0.69679,0.33364,0.85915,0,0.0006535,0.0006535,0.0006535
72,454.086,0.7821,0.97928,0.46884,0.92732,0,0.99819,1,0.995,0.88608,0.99819,1,0.995,0.85934,0.56598,0.67254,0.32218,0.85721,0,0.00064855,0.00064855,0.00064855
73,460.367,0.82215,1.03088,0.49167,0.93872,0,0.99813,1,0.995,0.86323,0.99813,1,0.995,0.85738,0.61306,0.69698,0.3316,0.8569,0,0.0006436,0.0006436,0.0006436
74,467.066,0.8821,1.10216,0.51453,0.97093,0,0.99803,1,0.995,0.86387,0.99803,1,0.995,0.8497,0.62662,0.72161,0.34011,0.85508,0,0.00063865,0.00063865,0.00063865
75,473.122,0.78392,1.00888,0.48569,0.92935,0,0.99794,1,0.995,0.86117,0.99794,1,0.995,0.83636,0.60892,0.74985,0.33756,0.85498,0,0.0006337,0.0006337,0.0006337
76,479.661,0.84494,1.10909,0.50945,0.96299,0,0.99793,1,0.995,0.86472,0.99793,1,0.995,0.83842,0.58258,0.75941,0.33801,0.86296,0,0.00062875,0.00062875,0.00062875
77,486.041,0.82853,0.98507,0.4873,0.96117,0,0.99799,1,0.995,0.85995,0.99799,1,0.995,0.8733,0.58363,0.68485,0.3469,0.84908,0,0.0006238,0.0006238,0.0006238
78,492.023,0.78037,0.90293,0.46706,0.94458,0,0.99799,1,0.995,0.86182,0.99799,1,0.995,0.84466,0.61356,0.70841,0.34572,0.85662,0,0.00061885,0.00061885,0.00061885
79,498.145,0.78564,1.0221,0.47222,0.93788,0,0.99803,1,0.995,0.88265,0.99803,1,0.995,0.84847,0.57669,0.70147,0.33011,0.8532,0,0.0006139,0.0006139,0.0006139
80,504.661,0.74999,1.00795,0.45618,0.93483,0,0.99802,1,0.995,0.87418,0.99802,1,0.995,0.85715,0.59417,0.74401,0.3307,0.85122,0,0.00060895,0.00060895,0.00060895
81,511.026,0.83373,1.10932,0.49723,0.94851,0,0.99801,1,0.995,0.86249,0.99801,1,0.995,0.84269,0.61007,0.72662,0.33276,0.85366,0,0.000604,0.000604,0.000604
82,517.12,0.7702,1.06448,0.47158,0.93986,0,0.99791,1,0.995,0.86224,0.99791,1,0.995,0.83595,0.60013,0.70353,0.3297,0.85795,0,0.00059905,0.00059905,0.00059905
83,523.691,0.80828,0.98378,0.48129,0.93276,0,0.99797,1,0.995,0.85837,0.99797,1,0.995,0.83025,0.63833,0.71873,0.34473,0.86682,0,0.0005941,0.0005941,0.0005941
84,530.117,0.80072,1.03203,0.47165,0.93859,0,0.99813,1,0.995,0.85388,0.99813,1,0.995,0.85375,0.6351,0.72184,0.33856,0.85743,0,0.00058915,0.00058915,0.00058915
85,536.621,0.76631,1.03402,0.46827,0.92947,0,0.99818,1,0.995,0.8522,0.99818,1,0.995,0.8447,0.61628,0.74048,0.33777,0.85572,0,0.0005842,0.0005842,0.0005842
86,543.075,0.75024,0.91499,0.44772,0.91398,0,0.99812,1,0.995,0.85859,0.99812,1,0.995,0.85649,0.58118,0.6862,0.32696,0.85294,0,0.00057925,0.00057925,0.00057925
87,549.374,0.76591,0.94069,0.48958,0.93698,0,0.99806,1,0.995,0.85512,0.99806,1,0.995,0.8268,0.63637,0.73108,0.32777,0.86546,0,0.0005743,0.0005743,0.0005743
88,555.913,0.72741,0.94993,0.43234,0.89689,0,0.99807,1,0.995,0.86426,0.99807,1,0.995,0.83316,0.60984,0.74686,0.32399,0.8557,0,0.00056935,0.00056935,0.00056935
89,562.257,0.77506,1.03462,0.46362,0.94806,0,0.99804,1,0.995,0.87878,0.99804,1,0.995,0.86758,0.55706,0.70307,0.31511,0.84041,0,0.0005644,0.0005644,0.0005644
90,568.577,0.76649,0.99263,0.44664,0.92709,0,0.99821,1,0.995,0.86648,0.99821,1,0.995,0.83731,0.60897,0.72622,0.31959,0.85354,0,0.00055945,0.00055945,0.00055945
91,574.761,0.79429,1.06945,0.48057,0.92587,0,0.99822,1,0.995,0.87153,0.99822,1,0.995,0.83286,0.62347,0.73483,0.31874,0.85937,0,0.0005545,0.0005545,0.0005545
92,580.881,0.80079,0.97678,0.45606,0.92327,0,0.99821,1,0.995,0.88755,0.99821,1,0.995,0.85797,0.57612,0.70507,0.31366,0.85099,0,0.00054955,0.00054955,0.00054955
93,587.237,0.78212,1.04238,0.4764,0.93536,0,0.99812,1,0.995,0.84435,0.99812,1,0.995,0.84956,0.57799,0.7117,0.30922,0.84951,0,0.0005446,0.0005446,0.0005446
94,593.443,0.82486,1.02575,0.48526,0.93012,0,0.99816,1,0.995,0.86716,0.99816,1,0.995,0.84952,0.57154,0.73375,0.31106,0.85024,0,0.00053965,0.00053965,0.00053965
95,599.616,0.85105,1.07815,0.49242,0.94092,0,0.99814,1,0.995,0.87971,0.99814,1,0.995,0.86132,0.55725,0.69901,0.31338,0.84526,0,0.0005347,0.0005347,0.0005347
96,606.045,0.78718,1.12491,0.47543,0.93665,0,0.99809,1,0.995,0.87449,0.99809,1,0.995,0.8469,0.55243,0.68883,0.30309,0.8431,0,0.00052975,0.00052975,0.00052975
97,612.388,0.76435,1.10683,0.45424,0.91058,0,0.99802,1,0.995,0.88098,0.99802,1,0.995,0.86157,0.52756,0.70103,0.31395,0.84111,0,0.0005248,0.0005248,0.0005248
98,618.733,0.73027,0.94759,0.44573,0.91692,0,0.99813,1,0.995,0.8825,0.99813,1,0.995,0.87626,0.53892,0.67619,0.32011,0.84462,0,0.00051985,0.00051985,0.00051985
99,625.064,0.74842,0.9368,0.44137,0.93353,0,0.99813,1,0.995,0.89323,0.99813,1,0.995,0.87002,0.54105,0.66294,0.32257,0.84325,0,0.0005149,0.0005149,0.0005149
100,631.096,0.77483,1.02489,0.47318,0.92557,0,0.99813,1,0.995,0.88473,0.99813,1,0.995,0.86222,0.57028,0.66885,0.32448,0.85387,0,0.00050995,0.00050995,0.00050995
101,637.341,0.75779,0.93386,0.43678,0.93438,0,0.99812,1,0.995,0.881,0.99812,1,0.995,0.85897,0.59926,0.67876,0.32921,0.85996,0,0.000505,0.000505,0.000505
102,643.639,0.74321,0.9778,0.42533,0.88778,0,0.99812,1,0.995,0.88036,0.99812,1,0.995,0.86424,0.57393,0.65512,0.31307,0.85119,0,0.00050005,0.00050005,0.00050005
103,649.936,0.74605,0.96603,0.44753,0.90602,0,0.99811,1,0.995,0.87663,0.99811,1,0.995,0.84098,0.58919,0.66637,0.32431,0.85554,0,0.0004951,0.0004951,0.0004951
104,656.059,0.75471,1.00299,0.43237,0.91774,0,0.99807,1,0.995,0.85566,0.99807,1,0.995,0.83764,0.60986,0.70637,0.34231,0.86277,0,0.00049015,0.00049015,0.00049015
105,662.481,0.802,1.06584,0.47673,0.93532,0,0.99816,1,0.995,0.88689,0.99816,1,0.995,0.85916,0.55907,0.64004,0.33134,0.84458,0,0.0004852,0.0004852,0.0004852
106,668.724,0.80752,1.02063,0.46097,0.94454,0,0.99816,1,0.995,0.88956,0.99816,1,0.995,0.85839,0.54962,0.64988,0.33289,0.84356,0,0.00048025,0.00048025,0.00048025
107,674.868,0.70251,0.93562,0.41765,0.91291,0,0.99814,1,0.995,0.87318,0.99814,1,0.995,0.84751,0.58886,0.66621,0.32727,0.84886,0,0.0004753,0.0004753,0.0004753
108,681.157,0.84083,1.14729,0.49812,0.9675,0,0.99824,1,0.995,0.8856,0.99824,1,0.995,0.84537,0.61432,0.67691,0.33057,0.85523,0,0.00047035,0.00047035,0.00047035
109,687.244,0.86097,1.03354,0.48685,0.95499,0,0.99821,1,0.995,0.88016,0.99821,1,0.995,0.87841,0.57853,0.68507,0.34452,0.84507,0,0.0004654,0.0004654,0.0004654
110,693.571,0.77206,0.95603,0.44085,0.90141,0,0.99819,1,0.995,0.8985,0.99819,1,0.995,0.87387,0.54885,0.68378,0.32388,0.84257,0,0.00046045,0.00046045,0.00046045
111,699.61,0.72048,0.93702,0.41652,0.89686,0,0.99819,1,0.995,0.88991,0.99819,1,0.995,0.86344,0.53538,0.67829,0.32526,0.84176,0,0.0004555,0.0004555,0.0004555
112,705.754,0.75725,1.02659,0.43872,0.9236,0,0.99811,1,0.995,0.88525,0.99811,1,0.995,0.83733,0.55936,0.64831,0.33967,0.84572,0,0.00045055,0.00045055,0.00045055
113,711.819,0.65998,0.86067,0.41325,0.89441,0,0.99821,1,0.995,0.89241,0.99821,1,0.995,0.86829,0.51956,0.63788,0.3228,0.83664,0,0.0004456,0.0004456,0.0004456
114,718.023,0.79443,1.02408,0.47315,0.92623,0,0.99815,1,0.995,0.8909,0.99815,1,0.995,0.86058,0.54017,0.6409,0.3222,0.84495,0,0.00044065,0.00044065,0.00044065
115,724.076,0.75082,0.93443,0.44558,0.93573,0,0.99812,1,0.995,0.89934,0.99812,1,0.995,0.87085,0.53591,0.62852,0.31757,0.84068,0,0.0004357,0.0004357,0.0004357
116,730.524,0.76376,0.93688,0.44158,0.92464,0,0.99807,1,0.995,0.87534,0.99807,1,0.995,0.84749,0.57062,0.64708,0.3102,0.84521,0,0.00043075,0.00043075,0.00043075
117,736.722,0.79326,0.95879,0.43299,0.91739,0,0.99819,1,0.995,0.86922,0.99819,1,0.995,0.8384,0.62553,0.68599,0.32268,0.85834,0,0.0004258,0.0004258,0.0004258
118,743.121,0.75164,0.93608,0.41384,0.92005,0,0.99818,1,0.995,0.88311,0.99818,1,0.995,0.8581,0.56619,0.64463,0.30929,0.84877,0,0.00042085,0.00042085,0.00042085
119,749.107,0.75738,0.87699,0.41202,0.91796,0,0.99814,1,0.995,0.9014,0.99814,1,0.995,0.88055,0.56178,0.63146,0.31236,0.84702,0,0.0004159,0.0004159,0.0004159
120,755.43,0.77243,1.01863,0.46005,0.93432,0,0.99818,1,0.995,0.88055,0.99818,1,0.995,0.89033,0.57473,0.62976,0.31594,0.8481,0,0.00041095,0.00041095,0.00041095
121,762.014,0.70859,0.87252,0.40222,0.91099,0,0.99817,1,0.995,0.87504,0.99817,1,0.995,0.87612,0.54685,0.62877,0.3117,0.84404,0,0.000406,0.000406,0.000406
122,768.842,0.7573,0.94003,0.43472,0.92449,0,0.9982,1,0.995,0.87893,0.9982,1,0.995,0.8291,0.57911,0.67093,0.32012,0.85234,0,0.00040105,0.00040105,0.00040105
123,775.263,0.72584,0.96215,0.42668,0.91277,0,0.99813,1,0.995,0.85457,0.99813,1,0.995,0.83347,0.62632,0.69991,0.32733,0.86094,0,0.0003961,0.0003961,0.0003961
124,782.024,0.75603,0.90608,0.43983,0.91153,0,0.99816,1,0.995,0.88189,0.99816,1,0.995,0.84502,0.59831,0.68194,0.31438,0.85661,0,0.00039115,0.00039115,0.00039115
125,788.237,0.73327,0.98784,0.41305,0.92477,0,0.9982,1,0.995,0.88903,0.9982,1,0.995,0.87599,0.53828,0.65942,0.29272,0.84265,0,0.0003862,0.0003862,0.0003862
126,794.25,0.68602,0.90479,0.40659,0.90537,0,0.99826,1,0.995,0.89153,0.99826,1,0.995,0.87713,0.51895,0.64791,0.29088,0.84118,0,0.00038125,0.00038125,0.00038125
127,800.439,0.69838,0.88804,0.4145,0.91826,0,0.99826,1,0.995,0.89373,0.99826,1,0.995,0.87337,0.50535,0.63731,0.28265,0.83948,0,0.0003763,0.0003763,0.0003763
128,806.79,0.7216,0.90237,0.42369,0.90054,0,0.99819,1,0.995,0.87849,0.99819,1,0.995,0.84487,0.57994,0.67431,0.29962,0.85629,0,0.00037135,0.00037135,0.00037135
129,812.813,0.77207,0.93861,0.42413,0.90231,0,0.99828,1,0.995,0.8869,0.99828,1,0.995,0.85318,0.55153,0.65917,0.2983,0.84757,0,0.0003664,0.0003664,0.0003664
130,818.886,0.71643,0.87215,0.39427,0.89856,0,0.99826,1,0.995,0.89768,0.99826,1,0.995,0.87746,0.52267,0.65549,0.27992,0.83734,0,0.00036145,0.00036145,0.00036145
131,825.338,0.74119,0.96481,0.4348,0.92286,0,0.99831,1,0.995,0.89367,0.99831,1,0.995,0.88293,0.522,0.64791,0.27899,0.8381,0,0.0003565,0.0003565,0.0003565
132,831.654,0.66103,0.84679,0.39086,0.88431,0,0.99818,1,0.995,0.88961,0.99818,1,0.995,0.86874,0.53226,0.64231,0.28578,0.84517,0,0.00035155,0.00035155,0.00035155
133,838.058,0.7397,0.95316,0.41968,0.9088,0,0.99824,1,0.995,0.87484,0.99824,1,0.995,0.83372,0.58717,0.68443,0.30365,0.86073,0,0.0003466,0.0003466,0.0003466
134,844.066,0.65835,0.83789,0.37176,0.88271,0,0.99809,1,0.995,0.88223,0.99809,1,0.995,0.84656,0.57262,0.66661,0.29389,0.8559,0,0.00034165,0.00034165,0.00034165
135,850.017,0.69101,0.89178,0.38245,0.90192,0,0.99823,1,0.995,0.89778,0.99823,1,0.995,0.86919,0.54182,0.64456,0.28175,0.8466,0,0.0003367,0.0003367,0.0003367
136,856.266,0.70536,0.92469,0.38356,0.92447,0,0.9982,1,0.995,0.88892,0.9982,1,0.995,0.8848,0.56178,0.67113,0.29463,0.84956,0,0.00033175,0.00033175,0.00033175
