epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,8.49783,1.8933,3.44314,4.12587,1.71143,0,0.00323,0.96875,0.01316,0.00693,0,0,0,0,1.59647,115.272,3.6647,1.34634,0,0.00013,0.00013,0.08713
2,15.2539,1.26598,1.77869,1.97603,1.04547,0,0.00333,1,0.98399,0.68449,0.00198,0.59375,0.49857,0.22549,0.96722,24.8951,3.00271,0.9658,0,0.000268663,0.000268663,0.0732687
3,21.8334,1.25755,1.71325,1.39827,1.05463,0,0.00333,1,0.995,0.6648,0.00333,1,0.995,0.61685,1.0229,3.72797,2.52057,1.01255,0,0.000405941,0.000405941,0.0594059
4,28.7476,1.28767,1.67247,1.30493,1.13711,0,0.00336,1,0.995,0.66747,0.00336,1,0.995,0.6875,1.04999,2.19686,2.31007,0.98972,0,0.000541832,0.000541832,0.0455418
5,35.0043,1.15582,1.55569,1.05361,1.06701,0,1,0.94146,0.995,0.71726,1,0.94146,0.995,0.68449,0.98769,1.71474,1.82987,0.97678,0,0.000676338,0.000676338,0.0316763
6,41.376,1.116,1.52454,0.90629,1.05129,0,1,0.90816,0.995,0.74549,1,0.90816,0.995,0.7315,0.852,1.39568,1.49189,0.93087,0,0.000809458,0.000809458,0.0178095
7,48.0981,1.00952,1.33636,0.87282,0.97471,0,0.98963,1,0.995,0.75989,0.98963,1,0.995,0.72751,0.82614,1.1864,1.27161,0.93407,0,0.000941191,0.000941191,0.00394119
8,54.8061,1.16973,1.50063,0.89306,1.04802,0,0.99489,1,0.995,0.77088,0.99489,1,0.995,0.7747,0.86872,1.13739,1.1184,0.92344,0,0.00096535,0.00096535,0.00096535
9,61.2902,1.04245,1.41494,0.83434,1.00702,0,0.99662,1,0.995,0.76241,0.99662,1,0.995,0.75885,0.88674,1.12485,0.609,0.9404,0,0.0009604,0.0009604,0.0009604
10,67.7888,1.03035,1.30188,0.77345,1.0074,0,0.99859,1,0.995,0.77478,0.99859,1,0.995,0.77139,0.86817,1.0225,0.54677,0.93877,0,0.00095545,0.00095545,0.00095545
11,73.8758,1.09166,1.39261,0.79942,1.0438,0,0.99762,1,0.995,0.77301,0.99762,1,0.995,0.78516,0.85433,0.98473,0.59961,0.9309,0,0.0009505,0.0009505,0.0009505
12,80.1957,1.08621,1.3655,0.85446,1.02974,0,0.99743,1,0.995,0.77358,0.99743,1,0.995,0.78268,0.85111,0.8715,0.63004,0.93196,0,0.00094555,0.00094555,0.00094555
13,85.9922,0.95544,1.20168,0.73848,0.99744,0,0.99778,1,0.995,0.7782,0.99778,1,0.995,0.80578,0.79607,0.90909,0.58156,0.92087,0,0.0009406,0.0009406,0.0009406
14,91.9295,1.0648,1.31298,0.77452,1.03087,0,0.99803,1,0.995,0.7886,0.99803,1,0.995,0.78149,0.83398,1.01193,0.58324,0.93191,0,0.00093565,0.00093565,0.00093565
15,97.9452,1.00879,1.29052,0.738,1.01192,0,0.99808,1,0.995,0.8013,0.99808,1,0.995,0.78227,0.77682,0.93967,0.53701,0.91593,0,0.0009307,0.0009307,0.0009307
16,104.111,1.12005,1.3292,0.79462,1.06179,0,0.998,1,0.995,0.79406,0.998,1,0.995,0.79245,0.75833,0.87792,0.50418,0.90641,0,0.00092575,0.00092575,0.00092575
17,110.166,0.94894,1.29336,0.71801,0.98041,0,0.99798,1,0.995,0.77168,0.99798,1,0.995,0.79129,0.83355,0.91895,0.52175,0.93888,0,0.0009208,0.0009208,0.0009208
18,116.392,1.04293,1.38657,0.77285,1.02816,0,0.9976,1,0.995,0.78017,0.9976,1,0.995,0.79355,0.83753,0.90577,0.5319,0.93895,0,0.00091585,0.00091585,0.00091585
19,122.335,0.9982,1.19987,0.74443,1.0149,0,0.99737,1,0.995,0.79795,0.99737,1,0.995,0.80901,0.74507,0.86718,0.50216,0.90581,0,0.0009109,0.0009109,0.0009109
20,128.47,0.91916,1.3043,0.73936,0.97336,0,0.99682,1,0.995,0.83573,0.99682,1,0.995,0.80382,0.70411,0.95775,0.49537,0.90009,0,0.00090595,0.00090595,0.00090595
21,134.522,0.9414,1.13301,0.70669,1.00075,0,0.99794,1,0.995,0.81194,0.99794,1,0.995,0.82668,0.77027,0.89448,0.4823,0.90745,0,0.000901,0.000901,0.000901
22,140.965,0.95649,1.37595,0.74832,1.00458,0,1,0.99769,0.995,0.76584,1,0.99769,0.995,0.7693,0.89118,1.01077,0.54216,0.9399,0,0.00089605,0.00089605,0.00089605
23,147.185,1.05326,1.28946,0.75079,1.01777,0,0.9985,1,0.995,0.80865,0.9985,1,0.995,0.78696,0.79174,0.94507,0.48385,0.91684,0,0.0008911,0.0008911,0.0008911
24,153.316,1.05175,1.32154,0.69025,1.00202,0,0.99799,1,0.995,0.77933,0.99799,1,0.995,0.8034,0.74896,0.87253,0.48088,0.89781,0,0.00088615,0.00088615,0.00088615
25,159.589,0.98361,1.26787,0.74103,0.9982,0,0.99764,1,0.995,0.78304,0.99764,1,0.995,0.794,0.73161,0.8898,0.62163,0.90395,0,0.0008812,0.0008812,0.0008812
26,165.715,0.93371,1.18901,0.74762,0.96742,0,0.9974,1,0.995,0.78617,0.9974,1,0.995,0.79581,0.71992,0.84374,0.55077,0.8903,0,0.00087625,0.00087625,0.00087625
27,171.77,0.90341,1.09987,0.69637,0.95247,0,0.99749,1,0.995,0.81094,0.99749,1,0.995,0.8048,0.69841,0.8353,0.48403,0.88443,0,0.0008713,0.0008713,0.0008713
28,177.798,0.89986,1.14105,0.69128,0.95462,0,0.99771,1,0.995,0.83072,0.99771,1,0.995,0.81586,0.71351,0.84438,0.46126,0.90122,0,0.00086635,0.00086635,0.00086635
29,184.092,0.95123,1.26792,0.69515,0.99218,0,0.99805,1,0.995,0.83814,0.99805,1,0.995,0.81572,0.68566,0.81825,0.431,0.883,0,0.0008614,0.0008614,0.0008614
30,190.518,0.93936,1.22897,0.6654,0.97939,0,0.99828,1,0.995,0.82468,0.99828,1,0.995,0.78814,0.80487,0.95944,0.43983,0.89734,0,0.00085645,0.00085645,0.00085645
31,196.718,1.018,1.3073,0.68148,0.99464,0,0.9983,1,0.995,0.84049,0.9983,1,0.995,0.81689,0.72756,0.91065,0.46548,0.88797,0,0.0008515,0.0008515,0.0008515
32,202.861,0.97488,1.31961,0.69312,1.01744,0,0.99831,1,0.995,0.81166,0.99831,1,0.995,0.81737,0.72941,0.85915,0.41818,0.90411,0,0.00084655,0.00084655,0.00084655
33,209.148,0.93125,1.13534,0.66015,0.96051,0,0.99822,1,0.995,0.83032,0.99822,1,0.995,0.82896,0.7151,0.8231,0.4395,0.87935,0,0.0008416,0.0008416,0.0008416
34,215.591,0.89038,1.21543,0.65586,0.97266,0,0.99808,1,0.995,0.84491,0.99808,1,0.995,0.83873,0.68992,0.79156,0.42821,0.8752,0,0.00083665,0.00083665,0.00083665
35,221.687,0.86398,1.0494,0.63374,0.94322,0,0.99806,1,0.995,0.85442,0.99806,1,0.995,0.82221,0.66267,0.78399,0.41647,0.87383,0,0.0008317,0.0008317,0.0008317
36,227.731,0.7903,0.98916,0.55004,0.93169,0,0.99801,1,0.995,0.85012,0.99801,1,0.995,0.83607,0.63841,0.82379,0.3966,0.87566,0,0.00082675,0.00082675,0.00082675
37,233.979,0.89278,1.09616,0.59913,0.95758,0,0.99799,1,0.995,0.83199,0.99799,1,0.995,0.83644,0.64995,0.86027,0.40498,0.87253,0,0.0008218,0.0008218,0.0008218
38,240.215,0.81961,1.07703,0.55446,0.94368,0,0.99835,1,0.995,0.83436,0.99835,1,0.995,0.83013,0.65854,0.8213,0.39416,0.87487,0,0.00081685,0.00081685,0.00081685
39,246.614,0.8021,1.04975,0.53237,0.94597,0,0.99834,1,0.995,0.84667,0.99834,1,0.995,0.84656,0.6458,0.79329,0.40075,0.86814,0,0.0008119,0.0008119,0.0008119
40,252.816,0.85937,1.13416,0.57154,0.96319,0,0.99831,1,0.995,0.85745,0.99831,1,0.995,0.83255,0.65257,0.76886,0.38535,0.869,0,0.00080695,0.00080695,0.00080695
41,258.882,0.8416,1.01606,0.54099,0.94924,0,0.99834,1,0.995,0.85108,0.99834,1,0.995,0.82839,0.65192,0.76355,0.38596,0.87218,0,0.000802,0.000802,0.000802
42,265.103,0.85603,1.17063,0.55317,0.95512,0,0.99825,1,0.995,0.84364,0.99825,1,0.995,0.81205,0.64655,0.87175,0.38115,0.86673,0,0.00079705,0.00079705,0.00079705
43,271.323,0.87359,1.35988,0.56371,0.95702,0,0.99818,1,0.995,0.85916,0.99818,1,0.995,0.825,0.60493,0.75192,0.3522,0.86074,0,0.0007921,0.0007921,0.0007921
44,277.662,0.81712,1.05018,0.51264,0.944,0,0.99804,1,0.995,0.84225,0.99804,1,0.995,0.79819,0.67166,0.78939,0.37255,0.88246,0,0.00078715,0.00078715,0.00078715
45,284.084,0.84965,1.06468,0.55175,0.95078,0,0.99815,1,0.995,0.85305,0.99815,1,0.995,0.84064,0.6111,0.7341,0.34604,0.86579,0,0.0007822,0.0007822,0.0007822
46,290.668,0.81481,1.03761,0.52315,0.93677,0,0.99808,1,0.995,0.85601,0.99808,1,0.995,0.84065,0.61201,0.70605,0.36957,0.86076,0,0.00077725,0.00077725,0.00077725
47,297.237,0.80975,1.01549,0.52917,0.95453,0,0.99795,1,0.995,0.83748,0.99795,1,0.995,0.82565,0.67184,0.71568,0.37021,0.87093,0,0.0007723,0.0007723,0.0007723
48,303.843,0.86947,1.10044,0.54361,0.95021,0,0.9979,1,0.995,0.83852,0.9979,1,0.995,0.82932,0.6938,0.7354,0.39383,0.87414,0,0.00076735,0.00076735,0.00076735
49,310.29,0.81678,1.04215,0.51877,0.92362,0,0.99787,1,0.995,0.86539,0.99787,1,0.995,0.84964,0.6277,0.72012,0.37679,0.85829,0,0.0007624,0.0007624,0.0007624
50,316.681,0.86993,1.21428,0.53486,0.95386,0,0.99812,1,0.995,0.85255,0.99812,1,0.995,0.83184,0.63197,0.72798,0.38973,0.85838,0,0.00075745,0.00075745,0.00075745
51,322.951,0.91765,1.15454,0.56883,0.95065,0,0.99817,1,0.995,0.83945,0.99817,1,0.995,0.79461,0.68359,0.77777,0.37792,0.86615,0,0.0007525,0.0007525,0.0007525
52,329.096,0.88114,1.12649,0.57293,0.96187,0,0.99812,1,0.995,0.85657,0.99812,1,0.995,0.8516,0.6014,0.69846,0.38858,0.85385,0,0.00074755,0.00074755,0.00074755
53,335.07,0.90437,1.08858,0.55796,0.9749,0,0.99824,1,0.995,0.86974,0.99824,1,0.995,0.85533,0.62285,0.71314,0.3537,0.86193,0,0.0007426,0.0007426,0.0007426
54,341.041,0.89297,1.16561,0.5208,0.95535,0,0.998,1,0.995,0.86724,0.998,1,0.995,0.84529,0.62412,0.7047,0.35794,0.86,0,0.00073765,0.00073765,0.00073765
55,347.229,0.92818,1.11371,0.57297,0.96185,0,0.99768,1,0.995,0.86068,0.99768,1,0.995,0.83973,0.60786,0.73598,0.36612,0.85659,0,0.0007327,0.0007327,0.0007327
56,353.586,0.8371,1.12221,0.55872,0.94127,0,0.99779,1,0.995,0.85569,0.99779,1,0.995,0.84613,0.6018,0.72599,0.3648,0.86118,0,0.00072775,0.00072775,0.00072775
57,359.631,0.8117,0.97894,0.49694,0.92348,0,0.9979,1,0.995,0.86037,0.9979,1,0.995,0.84993,0.59967,0.71782,0.3576,0.8599,0,0.0007228,0.0007228,0.0007228
58,366.202,0.82399,1.08148,0.52428,0.93797,0,0.99795,1,0.995,0.86104,0.99795,1,0.995,0.82643,0.60136,0.76468,0.36828,0.85722,0,0.00071785,0.00071785,0.00071785
59,372.956,0.84622,1.08761,0.53996,0.96767,0,0.99791,1,0.995,0.85215,0.99791,1,0.995,0.84408,0.60345,0.73997,0.35799,0.86073,0,0.0007129,0.0007129,0.0007129
60,379.206,0.83693,1.12075,0.52457,0.94143,0,0.99793,1,0.995,0.85138,0.99793,1,0.995,0.83309,0.63667,0.76177,0.3441,0.87268,0,0.00070795,0.00070795,0.00070795
